CT5_LANPAD~CT5_SEQUEN~CT5_DESC~CT5_STATUS~CT5_DC~CT5_DEBITO~CT5_CREDIT~CT5_MOEDAS~CT5_VLR01~CT5_VLR02~CT5_VLR03~CT5_VLR04~CT5_VLR05~CT5_HIST~CT5_HAGLUT~CT5_CCD~CT5_CCC~CT5_ORIGEM~CT5_INTERC~CT5_ITEMD~CT5_ITEMC~CT5_CLVLDB~CT5_CLVLCR~CT5_TPSALD~CT5_SBLOTE~CT5_MLTSLD~CT5_CTRLSD~CT5_EC05DB~CT5_EC05CR~CT5_EC06DB~CT5_EC06CR
9NB~5~D.APROPRIACAO DESP ASSIST.(BD7)-PCC      ~1~1~1222190820001~~12222~U_PLCTB9NB('005')~~~~~U_PLCTBORH('9NB','005','H')~U_PLCTBORH('9NB','005','A')~~~U_PLCTBORH('9NB','005','O')~2~~~~~1~57~;1~2~~~~
9NB~6~C.APROPRIACAO DESP ASSIST.(BD7)-PCC      ~1~2~~1222190990001~12222~U_PLCTB9NB('006')~~~~~U_PLCTBORH('9NB','006','H')~U_PLCTBORH('9NB','006','A')~~~U_PLCTBORH('9NB','006','O')~2~~~~~1~57~;1~2~~~~
9NB~7~D.APROPRIACAO DESP ASSIST.(BD7)-INS      ~1~1~1222290110001~~12222~U_PLCTB9NB('007')~~~~~U_PLCTBORH('9NB','007','H')~U_PLCTBORH('9NB','007','A')~~~U_PLCTBORH('9NB','007','O')~2~~~~~1~57~;1~2~~~~
9NB~8~C.APROPRIACAO DESP ASSIST.(BD7)-INS      ~1~2~~1222290120001~12222~U_PLCTB9NB('008')~~~~~U_PLCTBORH('9NB','008','H')~U_PLCTBORH('9NB','008','A')~~~U_PLCTBORH('9NB','008','O')~2~~~~~1~57~;1~2~~~~
9NB~9~C.APROPRIACAO DESP ASSIST(BD7)-CRE-MTJR  ~1~2~~1222290210001~12222~U_PLCTB9NB('009')~~~~~U_PLCTBORH('9NB','009','H')~U_PLCTBORH('9NB','009','A')~~~U_PLCTBORH('9NB','009','O')~2~~~~~1~57~;1~2~~~~
9NB~10~D.APROPRIACAO DESP ASSIST(BD7)-DEB-DC   ~1~1~1222290220001~~12222~U_PLCTB9NB('010')~~~~~U_PLCTBORH('9NB','010','H')~U_PLCTBORH('9NB','011','A')~~~U_PLCTBORH('9NB','010','O')~2~~~~~1~57~;1~2~~~~
9NC~1~D.CANC B.APROPRI DESP ASSIST.(BD7)-PAG   ~1~1~1222290810001~~12222~U_PLCTB9NC('001')~~~~~U_PLCTBORH('9NC','001','H')~U_PLCTBORH('9NC','001','A')~~~U_PLCTBORH('9NC','001','O')~2~~~~~1~58~;1~2~~~~
9NC~2~C.CANC B.APROPRI DESP ASSIST.(BD7)-PAG   ~1~2~~1222290820001~12222~U_PLCTB9NC('002')~~~~~U_PLCTBORH('9NC','002','H')~U_PLCTBORH('9NC','002','A')~~~U_PLCTBORH('9NC','002','O')~2~~~~~1~58~;1~2~~~~
9NC~3~D.CANC B.APROPRI DESP ASSIST.(BD7)-ISS   ~1~1~1222290990001~~12222~U_PLCTB9NC('003')~~~~~U_PLCTBORH('9NC','003','H')~U_PLCTBORH('9NC','003','A')~~~U_PLCTBORH('9NC','003','O')~2~~~~~1~58~;1~2~~~~
9NC~4~C.CANC B.APROPRI DESP ASSIST.(BD7)-ISS   ~1~2~~1222390110001~12222~U_PLCTB9NC('004')~~~~~U_PLCTBORH('9NC','004','H')~U_PLCTBORH('9NC','004','A')~~~U_PLCTBORH('9NC','004','O')~2~~~~~1~58~;1~2~~~~
