DE0_FILIAL,C,2,0;DE0_CODLAY,C,6,0;DE0_CODREG,C,6,0;DE0_STATUS,C,1,0;DE0_TAMREG,N,4,0;DE0_IDTREG,C,3,0;DE0_CODRCP,C,6,0;DE0_OCOREG,N,3,0;DE0_ALIAS,C,3,0;DE0_POSICI,C,1,0;DE0_POSORD,C,1,0;DE0_POSCHV,C,100,0;DE0_COND,C,254,0;DE0_VALID,C,254,0;DE0_NOMARQ,C,121,0;DE0_CTRTAM,C,1,0;DE0_CODQRY,C,6,0;DE0_CODRC2,C,6,0;DE0_CODRC3,C,6,0;DE0_CODRC4,C,6,0;DE0_CODRC5,C,6,0;DE0_CODRC6,C,6,0
;A1300D;R305;1;223;;;;R05;2;;R03->CHAVE;R03->CHAVE == R05->CHAVE  .and. R05->(!EOF());;;;;;;;;
;A1300D;R311;1;96;;R306;;R11;2;;R03->CHAVE;R03->CHAVE == R11->CHAVE  .and. R11->(!EOF());;;;;;;;;
;A1300D;R306;1;82;;R307;;R06;2;;R03->CHAVE;R03->CHAVE == R06->CHAVE  .and. R06->(!EOF());;;;;R308;;;;
;A1300D;R307;1;71;;;;R07;2;;R03->CHAVE;R03->CHAVE == R07->CHAVE  .and.  R06->CHAVE == R07->CHAVE .and. R07->(!EOF());;;;;;;;;
;A1300D;R308;1;368;;R309;;R08;2;;R03->CHAVE;R03->CHAVE == SUBSTR(R08->CHAVE,1,LEN(R03->CHAVE)) .and. R06->CHAVE == SUBSTR(R08->CHAVE,1,LEN(R06->CHAVE)) .and. R08->(!EOF());;;;;R310;;;;
;A1300D;R309;1;20;;;;R09;2;;R08->CHAVE;R06->CHAVE == SUBSTR(R09->CHAVE,1,LEN(R06->CHAVE)) .and. R08->CHAVE == R09->CHAVE .and. R09->(!EOF());;;;;;;;;
;A1300D;R310;1;22;;;;R10;2;;R08->CHAVE;R06->CHAVE == SUBSTR(R10->CHAVE,1,LEN(R06->CHAVE)) .and. R08->CHAVE == R10->CHAVE .and. R10->(!EOF());;;;;;;;;
;A1300D;R316;1;46;;;;R16;2;;;R16->(!EOF());;;;;;;;;
;A1300D;R317;1;178;;;;R17;2;;;R17->(!EOF());;;;;;;;;
;A1300D;R318;1;137;;;;R18;2;;;R18->(!EOF());;;;;;;;;
;A1300D;R319;1;95;;;;R19;2;;;R19->(!EOF());;;;;;;;;
;A400J;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400J;R402;1;659;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400J;R403;1;668;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400J;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400J;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400J;R406;1;85;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
